"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","SYNE2-like_stringtie_mRNA_62627"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","SYNE2-like_stringtie_mRNA_32910"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","SYNE2-like_stringtie_mRNA_10668"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","drySqu","XM_015288144.4.102"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCan","slc22a15b-like_stringtie_mRNA_17361"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCri","slc22a15b-like_stringtie_mRNA_25862"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakLuc","slc22a15b-like_stringtie_mRNA_31319"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaAtr","slc22a15b-like_stringtie_mRNA_11427"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaBer","XM_015288144.4.86"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaCae","slc22a15b-like_stringtie_mRNA_46214"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaDol","slc22a15b-like_stringtie_mRNA_21759"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaRuf","slc22a15b-like_stringtie_mRNA_19419"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_61918"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","XM_030280904.4.120"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","XM_030280904.4.4"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","SLC2A2-like_stringtie_mRNA_29635"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","SLC2A2-like_stringtie_mRNA_45739"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","SLC2A2-like_stringtie_mRNA_30312"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","stringtie_mRNA_862"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","XM_030280904.4.12"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","NM_207178.2.50"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","SLC2A11-like_stringtie_mRNA_53949"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","SLC2A9-like_stringtie_mRNA_16397"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","NM_001347710.2.129"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","SLC2A11-like_stringtie_mRNA_23975"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","stringtie_mRNA_42120"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","XM_030285773.4.121"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","SLC2A11-like_stringtie_mRNA_29283"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","SLC2A11-like_stringtie_mRNA_1861"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","XM_030285773.4.667"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","SLC2A11-like_stringtie_mRNA_53954"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","SLC2A11-like_stringtie_mRNA_16412"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","SLC2A11-like_stringtie_mRNA_50927"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","SLC2A11-like_stringtie_mRNA_23973"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","SLC2A11-like_stringtie_mRNA_42126"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","XM_030285775.4.121"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","SLC2A11-like_stringtie_mRNA_29285"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","Slc2a9-like_stringtie_mRNA_1859"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","Slc2a9-like_stringtie_mRNA_32358"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","drySqu","XM_040648113.1.50"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCan","XM_040648113.1.151"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCri","XM_040648113.1.129"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakLuc","XM_040648113.1.116"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaAtr","SLC2A11-like_stringtie_mRNA_42134"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaBer","XM_040648113.1.110"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaCae","SLC2A11-like_stringtie_mRNA_29293"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaDol","XM_040648113.1.71"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaRuf","XM_040648113.1.620"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","drySqu","XM_046934366.1.46"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCan","XM_004175506.5.14"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCri","XM_004175506.5.8"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakLuc","CYP51A1-like_stringtie_mRNA_1662"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaAtr","CYP51A1-like_stringtie_mRNA_46536"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaBer","CYP51A1-like_stringtie_mRNA_29777"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaCae","XM_004175506.5.39"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaDol","CYP51A1-like_stringtie_mRNA_593"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaRuf","CYP51A1-like_stringtie_mRNA_60966"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","CYP7B1-like_stringtie_mRNA_23787"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","stringtie_mRNA_6678"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","XM_072924699.1.47"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","CYP7B1-like_stringtie_mRNA_7123"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","CYP7B1-like_stringtie_mRNA_36888"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","CYP7B1-like_stringtie_mRNA_37727"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","CYP7B1-like_stringtie_mRNA_35494"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","CYP7B1-like_stringtie_mRNA_13619"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","XM_012572087.5.34"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","CYP24A1-like_stringtie_mRNA_20853"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","CYP24A1-like_stringtie_mRNA_19978"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","NM_001396287.1.97"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","CYP24A1-like_stringtie_mRNA_12016"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","XM_030288727.4.851"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","NM_001396287.1.77"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","NM_001396287.1.74"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","NM_001396287.1.53"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","CYP24A1-like_stringtie_mRNA_44879"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","NM_001127374.2.13"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","NM_001127374.2.162"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","XM_041718277.2.3"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","cyp11a1-like_stringtie_mRNA_13395"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","NM_001127374.2.3149"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","NM_001127374.2.278"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","NM_001127374.2.1756"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","NM_001127374.2.92"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","NM_001127374.2.517"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","Cyp4b1-like_stringtie_mRNA_6883"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","Cyp4b1-like_stringtie_mRNA_7617"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","XM_002192088.6.13"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","XM_002192088.6.8"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","XM_002192088.6.1069"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","XM_002192088.6.17"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","Cyp4b1-like_stringtie_mRNA_48298"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","Cyp4b1-like_stringtie_mRNA_4317"
"Kidney","OG_0000405",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","Cyp4b1-like_stringtie_mRNA_48069"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_6886"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","stringtie_mRNA_7670"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","Cyp4b1-like_stringtie_mRNA_53485"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","Cyp4b1-like_stringtie_mRNA_14415"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","XM_002192054.7.1069"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","XM_002192054.7.17"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","XM_002192054.7.224"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","XM_002192054.7.9"
"Kidney","OG_0000406",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","Cyp4b1-like_stringtie_mRNA_48071"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","XM_002190672.6.42"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","XM_002190672.6.34"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","XM_002190672.6.31"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","CYP3A24-like_stringtie_mRNA_29602"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","Cyp3a13-like_stringtie_mRNA_44864"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","Cyp3a13-like_stringtie_mRNA_6871"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","Cyp3a13-like_stringtie_mRNA_63954"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","XM_002190672.6.29"
"Kidney","OG_0000408",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","XM_002190672.6.261"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","drySqu","cyp2k1-like_stringtie_mRNA_43197"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","sakCan","XM_030269915.4.133"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","sakCri","cyp2k1-like_stringtie_mRNA_4475"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","sakLuc","cyp2k1-like_stringtie_mRNA_13718"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","thaAtr","cyp2k1-like_stringtie_mRNA_38203"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","thaBer","cyp2k1-like_stringtie_mRNA_20816"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","thaCae","XM_030269915.4.169"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","thaDol","XM_030269915.4.5"
"Kidney","OG_0000424",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","thaRuf","XM_030269915.4.149"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","drySqu","Slc6a19-like_stringtie_mRNA_49577"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCan","Slc6a19-like_stringtie_mRNA_41432"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCri","Slc6a19-like_stringtie_mRNA_19855"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakLuc","Slc6a19-like_stringtie_mRNA_7301"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaAtr","XM_002187615.6.78"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaBer","XM_002187615.6.18"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaCae","XM_002187615.6.120"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaDol","XM_002187615.6.18"
"Kidney","OG_0001082",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaRuf","Slc6a19-like_stringtie_mRNA_2021"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","drySqu","XM_030256977.4.348"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCan","XM_072919458.1.351"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCri","XM_030256977.4.532"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakLuc","XM_072919458.1.639"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaAtr","XM_030256977.4.3566"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaBer","Myo1f-like_stringtie_mRNA_20604"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaCae","MYO1F-like_stringtie_mRNA_31250"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaDol","XM_072919458.1.170"
"Kidney","OG_0001110",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaRuf","Myo1f-like_stringtie_mRNA_15724"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_23724"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","CHD7-like_stringtie_mRNA_6614"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","CHD7-like_stringtie_mRNA_19781"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","CHD7-like_stringtie_mRNA_7155"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","CHD7-like_stringtie_mRNA_36981"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","CHD7-like_stringtie_mRNA_37786"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","stringtie_mRNA_43393"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","CHD7-like_stringtie_mRNA_13567"
"Kidney","OG_0001165",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","CHD7-like_stringtie_mRNA_53224"
"Kidney","OG_0001172",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","XM_030279928.4.178"
"Kidney","OG_0001172",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","XM_030279928.4.261"
