"Tissue","OG","n_pairs","Pairs","species","gene_id","galGal_geneID","taeGut_geneID"
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","rm2-like_stringtie_mRNA_13340",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","rm2-like_stringtie_mRNA_17523",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","XM_030283024.4.103",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","XM_072918787.1.214",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","RM4-like_stringtie_mRNA_66854",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","RM4-like_stringtie_mRNA_37236",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","RM4-like_stringtie_mRNA_11448",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","RM4-like_stringtie_mRNA_18735",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","XM_072918787.1.130",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","XM_072918786.1.539",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","stringtie_mRNA_28107",NA,NA
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","RM4-like_stringtie_mRNA_31156",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","XM_046934366.1.46",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_004175506.5.14",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","XM_004175506.5.8",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","CYP51A1-like_stringtie_mRNA_1662",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","CYP51A1-like_stringtie_mRNA_46536",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","CYP51A1-like_stringtie_mRNA_29777",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","XM_004175506.5.39",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","CYP51A1-like_stringtie_mRNA_593",NA,NA
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","CYP51A1-like_stringtie_mRNA_60966",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","XM_002192960.6.234",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","stringtie_mRNA_5933",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_002192960.6.419",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","XM_002192960.6.312",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","XM_002192960.6.1396",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_002192960.6.96",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","XM_002192960.6.522",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","XM_002192960.6.111",NA,NA
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_92",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","Abca2-like_stringtie_mRNA_41928",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_072936512.1.198",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","ABCA2-like_stringtie_mRNA_57269",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","XM_072936512.1.346",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","ABCA2-like_stringtie_mRNA_32576",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_072936512.1.143",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","Abca2-like_stringtie_mRNA_29045",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","XM_072936512.1.24",NA,NA
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","XM_072936512.1.955",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","XM_015288821.4.2",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","ABCC2-like_stringtie_mRNA_41411",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_015288821.4.41",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","ABCC2-like_stringtie_mRNA_40135",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","ABCC2-like_stringtie_mRNA_27086",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","ABCC2-like_stringtie_mRNA_38476",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","XM_030276186.4.69",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","ABCC2-like_stringtie_mRNA_5712",NA,NA
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_6110",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","NM_001277713.2.13",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","NM_001277713.2.12",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","NM_001277713.2.16",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","XM_030283677.4.53",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","Rab24-like_stringtie_mRNA_11494",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","RAB24-like_stringtie_mRNA_987",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","XM_030283678.4.182",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","XM_030283678.4.20",NA,NA
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","Rab24-like_stringtie_mRNA_47438",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","HRAS-like_stringtie_mRNA_10133",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","XM_030273075.4.102",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_27390",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","HRAS-like_stringtie_mRNA_18720",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","HRAS-like_stringtie_mRNA_29870",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_030273075.4.34",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","HRAS-like_stringtie_mRNA_60521",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","HRAS-like_stringtie_mRNA_42868",NA,NA
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","HRAS-like_stringtie_mRNA_53539",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","Rap2c-like_stringtie_mRNA_35631",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","Rap2c-like_stringtie_mRNA_12025",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","XM_002190631.7.16",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_002190631.7.30",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","Rap2c-like_stringtie_mRNA_48765",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","XM_002190631.7.87",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","Rap2c-like_stringtie_mRNA_61500",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","Rap2c-like_stringtie_mRNA_40644",NA,NA
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","XM_002190631.7.78",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","RAB2A-like_stringtie_mRNA_23712",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_012572043.5.13",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","XM_012572043.5.66",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","XM_012572043.5.18",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","XM_012572043.5.17",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","RAB2A-like_stringtie_mRNA_37792",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","XM_012572043.5.2",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","RAB2A-like_stringtie_mRNA_13566",NA,NA
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","RAB2A-like_stringtie_mRNA_53221",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_17996",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCan","PLXNB2-like_stringtie_mRNA_48840",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCri","PLXNB2-like_stringtie_mRNA_11005",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakLuc","PLXNB2-like_stringtie_mRNA_13656",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaAtr","PLXNB2-like_stringtie_mRNA_24694",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaBer","PLXNB2-like_stringtie_mRNA_48172",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaCae","PLXNB2-like_stringtie_mRNA_44198",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaDol","PLXNB2-like_stringtie_mRNA_42937",NA,NA
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaRuf","PLXNB2-like_stringtie_mRNA_58025",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","DOCK10-like_stringtie_mRNA_10787",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","DOCK10-like_stringtie_mRNA_2115",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","DOCK10-like_stringtie_mRNA_32247",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","DOCK10-like_stringtie_mRNA_32289",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","DOCK10-like_stringtie_mRNA_37373",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","DOCK10-like_stringtie_mRNA_7916",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","DOCK10-like_stringtie_mRNA_38160",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","DOCK10-like_stringtie_mRNA_37844",NA,NA
"Brain","OG_0001500",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","DOCK10-like_stringtie_mRNA_6712",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","XM_030259080.4.103",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","DOCK8-like_stringtie_mRNA_27326",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","stringtie_mRNA_46014",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_030259080.4.136",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","DOCK8-like_stringtie_mRNA_20738",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","XM_030259080.4.21",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","XM_046905728.1.164",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","XM_030259080.4.22",NA,NA
"Brain","OG_0001502",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","DOCK8-like_stringtie_mRNA_46061",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","Bltp1-like_stringtie_mRNA_12241",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","BLTP1-like_stringtie_mRNA_56375",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","Bltp1-like_stringtie_mRNA_14350",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","BLTP1-like_stringtie_mRNA_13291",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","BLTP1-like_stringtie_mRNA_29847",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","BLTP1-like_stringtie_mRNA_11652",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","BLTP1-like_stringtie_mRNA_57462",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","BLTP1-like_stringtie_mRNA_36592",NA,NA
"Brain","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","BLTP1-like_stringtie_mRNA_35253",NA,NA
"Brain","OG_0001917",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","Atp2b2-like_stringtie_mRNA_1310",NA,NA
"Brain","OG_0001917",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","Atp2b2-like_stringtie_mRNA_56332",NA,NA
"Brain","OG_0001917",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","Atp2b2-like_stringtie_mRNA_19707",NA,NA
