"Tissue","OG","n_pairs","Pairs","species","gene_id","transcript_root","galGal_geneID","taeGut_geneID"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","MYO18A-like_stringtie_mRNA_9394","MYO18A-like_stringtie_mRNA_9394",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","XM_072937319.1.1989","XM_072937319.1",NA,"MYO18A"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_072937317.1.107","XM_072937317.1",NA,"MYO18A"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","stringtie_mRNA_44339","stringtie_mRNA_44339",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","MYO18A-like_stringtie_mRNA_8174","MYO18A-like_stringtie_mRNA_8174",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_51411","stringtie_mRNA_51411",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","HRAS-like_stringtie_mRNA_10133","HRAS-like_stringtie_mRNA_10133",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_030273075.4.102","XM_030273075.4",NA,"HRAS"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_27390","stringtie_mRNA_27390",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","HRAS-like_stringtie_mRNA_18720","HRAS-like_stringtie_mRNA_18720",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","HRAS-like_stringtie_mRNA_29870","HRAS-like_stringtie_mRNA_29870",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_030273075.4.34","XM_030273075.4",NA,"HRAS"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","HRAS-like_stringtie_mRNA_60521","HRAS-like_stringtie_mRNA_60521",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","HRAS-like_stringtie_mRNA_42868","HRAS-like_stringtie_mRNA_42868",NA,NA
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","HRAS-like_stringtie_mRNA_53539","HRAS-like_stringtie_mRNA_53539",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","RYR1-like_stringtie_mRNA_34797","RYR1-like_stringtie_mRNA_34797",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","RYR3-like_stringtie_mRNA_33540","RYR3-like_stringtie_mRNA_33540",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","RYR3-like_stringtie_mRNA_29738","RYR3-like_stringtie_mRNA_29738",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","RYR3-like_stringtie_mRNA_16027","RYR3-like_stringtie_mRNA_16027",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","RYR3-like_stringtie_mRNA_36844","RYR3-like_stringtie_mRNA_36844",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","RYR3-like_stringtie_mRNA_31408","RYR3-like_stringtie_mRNA_31408",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","Ryr3-like_stringtie_mRNA_5874","Ryr3-like_stringtie_mRNA_5874",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","RYR3-like_stringtie_mRNA_43562","RYR3-like_stringtie_mRNA_43562",NA,NA
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","Ryr3-like_stringtie_mRNA_5123","Ryr3-like_stringtie_mRNA_5123",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","Bltp1-like_stringtie_mRNA_12241","Bltp1-like_stringtie_mRNA_12241",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","BLTP1-like_stringtie_mRNA_56375","BLTP1-like_stringtie_mRNA_56375",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","Bltp1-like_stringtie_mRNA_14350","Bltp1-like_stringtie_mRNA_14350",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","BLTP1-like_stringtie_mRNA_13291","BLTP1-like_stringtie_mRNA_13291",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","BLTP1-like_stringtie_mRNA_29847","BLTP1-like_stringtie_mRNA_29847",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","BLTP1-like_stringtie_mRNA_11652","BLTP1-like_stringtie_mRNA_11652",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","BLTP1-like_stringtie_mRNA_57462","BLTP1-like_stringtie_mRNA_57462",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","BLTP1-like_stringtie_mRNA_36592","BLTP1-like_stringtie_mRNA_36592",NA,NA
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","BLTP1-like_stringtie_mRNA_35253","BLTP1-like_stringtie_mRNA_35253",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_38098","stringtie_mRNA_38098",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","POR-like_stringtie_mRNA_38484","POR-like_stringtie_mRNA_38484",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_18363","stringtie_mRNA_18363",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_2749","stringtie_mRNA_2749",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","stringtie_mRNA_1151","stringtie_mRNA_1151",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","stringtie_mRNA_42738","stringtie_mRNA_42738",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","stringtie_mRNA_24017","stringtie_mRNA_24017",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","stringtie_mRNA_7854","stringtie_mRNA_7854",NA,NA
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_55709","stringtie_mRNA_55709",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_60371","stringtie_mRNA_60371",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","stringtie_mRNA_20712","stringtie_mRNA_20712",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","NM_001245829.1.76","NM_001245829.1",NA,"LOC100190204"
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_18765","stringtie_mRNA_18765",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","stringtie_mRNA_35851","stringtie_mRNA_35851",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","stringtie_mRNA_36800","stringtie_mRNA_36800",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","stringtie_mRNA_34316","stringtie_mRNA_34316",NA,NA
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","NM_001245829.1.5","NM_001245829.1",NA,"LOC100190204"
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","NM_001245829.1.718","NM_001245829.1",NA,"LOC100190204"
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_2146","stringtie_mRNA_2146",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","CASP8AP2-like_stringtie_mRNA_23245","CASP8AP2-like_stringtie_mRNA_23245",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","Casp8ap2-like_stringtie_mRNA_58649","Casp8ap2-like_stringtie_mRNA_58649",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_29157","stringtie_mRNA_29157",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","Casp8ap2-like_stringtie_mRNA_28869","Casp8ap2-like_stringtie_mRNA_28869",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_040697839.2.3","XM_040697839.2","CASP8AP2",NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","XM_072926635.1.12","XM_072926635.1",NA,"CASP8AP2"
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","Casp8ap2-like_stringtie_mRNA_8920","Casp8ap2-like_stringtie_mRNA_8920",NA,NA
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","XM_072926635.1.124","XM_072926635.1",NA,"CASP8AP2"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","XM_030290482.4.242","XM_030290482.4",NA,"STX12"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","STX12-like_stringtie_mRNA_3454","STX12-like_stringtie_mRNA_3454",NA,NA
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","XM_030290482.4.288","XM_030290482.4",NA,"STX12"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","XM_030290482.4.600","XM_030290482.4",NA,"STX12"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","STX12-like_stringtie_mRNA_10094","STX12-like_stringtie_mRNA_10094",NA,NA
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","STX12-like_stringtie_mRNA_26629","STX12-like_stringtie_mRNA_26629",NA,NA
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","STX12-like_stringtie_mRNA_50756","STX12-like_stringtie_mRNA_50756",NA,NA
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","XM_030290482.4.90","XM_030290482.4",NA,"STX12"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","XM_030290482.4.654","XM_030290482.4",NA,"STX12"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","SDF2L1-like_stringtie_mRNA_17897","SDF2L1-like_stringtie_mRNA_17897",NA,NA
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_030286050.4.285","XM_030286050.4",NA,"TOP3B"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","TOP3B-like_stringtie_mRNA_50768","TOP3B-like_stringtie_mRNA_50768",NA,NA
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","XM_030286050.4.65","XM_030286050.4",NA,"TOP3B"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","TOP3B-like_stringtie_mRNA_1376","TOP3B-like_stringtie_mRNA_1376",NA,NA
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_030286050.4.67","XM_030286050.4",NA,"TOP3B"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","XM_030286050.4.292","XM_030286050.4",NA,"TOP3B"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","TOP3B-like_stringtie_mRNA_1966","TOP3B-like_stringtie_mRNA_1966",NA,NA
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","Top3b-like_stringtie_mRNA_34618","Top3b-like_stringtie_mRNA_34618",NA,NA
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_5608","stringtie_mRNA_5608",NA,NA
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_030263413.4.130","XM_030263413.4",NA,"IGSF3"
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_12600","stringtie_mRNA_12600",NA,NA
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","XM_002193985.7.105","XM_002193985.7",NA,"IGSF3"
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","XM_030263413.4.51","XM_030263413.4",NA,"IGSF3"
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_030263413.4.26","XM_030263413.4",NA,"IGSF3"
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","IGSF3-like_stringtie_mRNA_22667","IGSF3-like_stringtie_mRNA_22667",NA,NA
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","IGSF3-like_stringtie_mRNA_4954","IGSF3-like_stringtie_mRNA_4954",NA,NA
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","XM_030263413.4.249","XM_030263413.4",NA,"IGSF3"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","ADGRF5-like_stringtie_mRNA_61491","ADGRF5-like_stringtie_mRNA_61491",NA,NA
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","XM_030269952.4.401","XM_030269952.4",NA,"ADGRF5"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","ADGRF5-like_stringtie_mRNA_4403","ADGRF5-like_stringtie_mRNA_4403",NA,NA
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","XM_030269952.4.171","XM_030269952.4",NA,"ADGRF5"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","ADGRF5-like_stringtie_mRNA_28193","ADGRF5-like_stringtie_mRNA_28193",NA,NA
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","ADGRF5-like_stringtie_mRNA_20862","ADGRF5-like_stringtie_mRNA_20862",NA,NA
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","XM_030269951.4.203","XM_030269951.4",NA,"ADGRF5"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","XM_030269948.4.5","XM_030269948.4",NA,"ADGRF5"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","ADGRF5-like_stringtie_mRNA_63356","ADGRF5-like_stringtie_mRNA_63356",NA,NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","XM_004939122.5.114","XM_004939122.5","CSRNP1",NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_002186647.7.138","XM_002186647.7",NA,"CSRNP1"
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","XM_004939122.5.157","XM_004939122.5","CSRNP1",NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","CSRNP1-like_stringtie_mRNA_36526","CSRNP1-like_stringtie_mRNA_36526",NA,NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","CSRNP1-like_stringtie_mRNA_30231","CSRNP1-like_stringtie_mRNA_30231",NA,NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","CSRNP1-like_stringtie_mRNA_27340","CSRNP1-like_stringtie_mRNA_27340",NA,NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","XM_002186647.7.176","XM_002186647.7",NA,"CSRNP1"
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","CSRNP1-like_stringtie_mRNA_44356","CSRNP1-like_stringtie_mRNA_44356",NA,NA
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","CSRNP1-like_stringtie_mRNA_229","CSRNP1-like_stringtie_mRNA_229",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","spt1-like_stringtie_mRNA_47934","spt1-like_stringtie_mRNA_47934",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","NM_001135677.2.147","NM_001135677.2","GSPT2",NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","XM_015294247.4.96","XM_015294247.4","GSPT2",NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","XM_030285238.4.98","XM_030285238.4",NA,"GSPT1"
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","SPT1-like_stringtie_mRNA_47112","SPT1-like_stringtie_mRNA_47112",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","spt1-like_stringtie_mRNA_16453","spt1-like_stringtie_mRNA_16453",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","spt1-like_stringtie_mRNA_58876","spt1-like_stringtie_mRNA_58876",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","spt1-like_stringtie_mRNA_28380","spt1-like_stringtie_mRNA_28380",NA,NA
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","NM_001135677.2.405","NM_001135677.2","GSPT2",NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","OAT-like_stringtie_mRNA_32550","OAT-like_stringtie_mRNA_32550",NA,NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","OAT-like_stringtie_mRNA_32405","OAT-like_stringtie_mRNA_32405",NA,NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","OAT-like_stringtie_mRNA_39648","OAT-like_stringtie_mRNA_39648",NA,NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","OAT-like_stringtie_mRNA_11165","OAT-like_stringtie_mRNA_11165",NA,NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","stringtie_mRNA_9243","stringtie_mRNA_9243",NA,NA
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","OAT-like_stringtie_mRNA_19003","OAT-like_stringtie_mRNA_19003",NA,NA
